0 1 13924 14429
1 1 941 802
2 0 2616 744
3 2 937 860
4 2 809 765
5 0 819 735
6 6 789 715
7 6 854 813
8 8 825 789
9 11 889 791
10 12 858 744
11 13 929 773
12 19 873 902
13 29 871 881
14 31 920 994
15 36 1013 1034
16 45 867 1160
17 53 947 1144
18 71 936 1069
19 70 944 1255
20 92 867 1099
21 100 900 965
22 104 960 1062
23 128 961 1002
24 115 936 1175
25 141 991 990
26 152 1022 910
27 194 1108 1101
28 231 1150 1272
29 232 1183 1215
30 234 1270 1586
31 275 1377 1910
32 265 1316 2195
33 288 1396 2639
34 280 1319 2804
35 287 1452 3776
36 334 1447 3927
37 298 1511 4043
38 315 1498 4782
39 342 1565 5042
40 316 1569 5142
41 335 1710 5160
42 334 1606 4194
43 342 1773 4175
44 387 1931 4215
45 358 1937 2990
46 353 1990 3062
47 305 2077 2394
48 325 2265 2808
49 358 2187 2167
50 378 2169 1819
51 351 2166 2057
52 359 2110 1683
53 363 2099 1630
54 384 2030 1637
55 364 1950 1601
56 363 1815 1914
57 390 1715 1704
58 396 1581 1550
59 366 1374 1648
60 409 1207 1842
61 406 1106 1592
62 419 987 1771
63 397 958 1951
64 458 826 1788
65 408 735 1847
66 388 658 1742
67 388 630 2015
68 388 605 1965
69 389 556 1932
70 429 517 2093
71 412 585 2253
72 427 512 2293
73 449 518 2289
74 395 516 2236
75 412 531 2517
76 448 480 2908
77 400 494 2575
78 446 453 3050
79 461 519 3306
80 497 476 3172
81 451 458 3197
82 463 443 2977
83 513 478 3438
84 524 440 3068
85 563 476 2789
86 541 447 2943
87 512 412 2545
88 659 473 2929
89 587 473 2582
90 603 425 2081
91 641 464 2137
92 698 402 2168
93 696 456 1799
94 737 401 1785
95 712 431 1571
96 801 420 1928
97 858 415 1514
98 874 431 1305
99 947 417 1479
100 974 401 1308
101 1098 409 1139
102 1149 410 1150
103 1197 398 1113
104 1384 432 1037
105 1419 437 1033
106 1442 415 898
107 1508 432 871
108 1754 452 939
109 1810 407 744
110 1832 436 794
111 1768 386 665
112 2150 493 777
113 2004 494 682
114 2082 449 566
115 2212 473 615
116 2211 489 566
117 2076 480 512
118 2178 505 552
119 2085 488 441
120 2372 477 543
121 2181 491 467
122 2135 498 374
123 2148 520 390
124 2185 546 446
125 2024 563 340
126 2028 529 368
127 1693 618 398
128 2032 571 331
129 1919 549 342
130 1845 552 287
131 1798 631 348
132 1788 577 286
133 1805 570 272
134 1755 557 292
135 1710 609 287
136 1780 603 307
137 1732 593 244
138 1795 636 256
139 1701 655 236
140 1699 648 295
141 1740 640 223
142 1766 626 261
143 1773 710 267
144 1840 700 221
145 1721 676 243
146 1690 717 241
147 1765 760 276
148 1668 729 262
149 1744 722 262
150 1736 822 252
151 1698 791 238
152 1776 827 300
153 1638 873 252
154 1617 927 224
155 1511 946 245
156 1643 935 273
157 1577 920 205
158 1576 983 253
159 1560 1058 305
160 1570 1108 249
161 1548 1071 270
162 1368 1129 256
163 1559 1208 272
164 1461 1231 276
165 1476 1231 225
166 1540 1196 234
167 1568 1271 245
168 1597 1331 264
169 1671 1371 252
170 1660 1222 224
171 1704 1331 252
172 1835 1524 311
173 1770 1484 233
174 1908 1503 249
175 1822 1505 216
176 2153 1791 259
177 2041 1796 274
178 2020 1844 220
179 2030 1929 252
180 2112 1869 259
181 2080 1931 262
182 2257 1991 236
183 2066 2075 217
184 2360 2100 314
185 2210 1894 245
186 2293 2038 253
187 2204 2037 286
188 2529 2027 286
189 2508 1833 245
190 2443 1901 286
191 2458 1936 282
192 2748 2117 304
193 2790 2043 301
194 2785 1953 273
195 2973 2081 356
196 3066 1928 264
197 3264 1865 268
198 3583 1932 254
199 3431 1972 281
200 3485 1959 237
201 3252 2038 224
202 3051 2004 193
203 2847 2145 160
204 2602 2394 223
205 2261 2355 192
206 2109 2488 136
207 2031 2502 173
208 1869 2338 140
209 1663 2218 147
210 1467 2054 114
211 1375 1898 148
212 1168 1546 129
213 1081 1354 113
214 1028 1249 118
215 842 1048 107
216 835 1010 147
217 657 822 126
218 599 756 111
219 464 755 153
220 462 744 156
221 292 731 121
222 217 738 84
223 140 770 31
224 117 931 16
225 56 681 3
226 35 588 3
227 15 424 2
228 8 239 1
229 0 158 1
230 0 139 0
231 2 66 0
232 0 36 0
233 0 23 0
234 0 14 0
235 0 8 0
236 0 4 0
237 0 2 0
238 0 0 0
239 0 0 0
240 0 0 0
241 0 0 0
242 0 0 0
243 0 0 0
244 0 0 0
245 0 0 0
246 0 0 0
247 0 0 0
248 0 0 0
249 0 0 0
250 0 0 0
251 0 0 0
252 0 0 0
253 0 0 0
254 0 0 0
255 0 0 0
